name,image,lat,lon,size,screen_type,direction,orientation,unit_type
Reseda E/L S Bessemer,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/46055/car_rental_skurt_app_billboard.jpg,34.180501,-118.535862,"10' 5"" x 22' 8""",static,N,,billboard
4109,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/130219/marketing.jpeg,34.0473146900001,-118.4437671,14' x 48',static,NW,,billboard
La Cienega ES 155ft N/O Corbett F/N - 1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/178133/marketing.jpeg,34.02565006,-118.37188393,"12' 3"" x 24' 6""",static,N,L,billboard
Vineland WS 455ft N/O Vanowen (NO EXT) F/S - 1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/45999/011-007290.jpg,34.19524,-118.370535,14' x 48',static,S,L,billboard
Slauson N/L E/O La Brea % F/E,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/214349/Image_202017-02-24_20at_202.20.02_20PM.png,33.988701,-118.356361,14' x 48',static,E,,billboard
Pomona Fwy N/L W/O Lemon #1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/63546/Image_202018-05-21_20at_207.42.34_20AM.png,33.9982900000001,-117.860821,14' x 48',Static,W,,billboard
Venice S/L W/O Culver F/E,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/173893/Image_2018-09-27_at_12.37.23_PM.png,34.025822,-118.394127,14' x 48',static,E,,billboard
Hacienda E/L S/O Valley #1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/162805/Image_2018-09-13_at_8.01.21_AM.png,34.015028,-117.96072,14' x 48',Static,N,,billboard
Venice N/L W/O Midvale F/W,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/13515/Image_202017-09-02_20at_202.58.43_20AM.png,34.01633,-118.4117,14' x 48',static,W,,billboard
Lambert NS 105.6ft E/O Harbor F/W - 1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/210716/marketing.jpeg,33.92484705,-117.92873204,12' x 24',static,W,L,billboard
"w/l San Gabriel River (605) Freeway at Alondra, FS",https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/213237/CoronaExtra105AprilHighResapprch.jpg,33.88697643,-118.10507387,18' x 48',static,S,,billboard
Bandini NS 250ft E/O Soto F/E - 4,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/210436/marketing.jpeg,34.00900275,-118.21881026,14' x 48',static,E,R,billboard
CAHUENGA BLVD WL 172F S OF WARING AVE NF,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/71193/unavailable.Photosheet.Approach.1900-01-01T00.00.00.0x0.jpg,34.0917,-118.328,6' x 12',static,N,Right Of Road,billboard
2nd NS 70ft E/O Roycroft F/W - 1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/129351/marketing.jpeg,33.76201032,-118.13844591,14' x 48',static,W,,billboard
Laurel Cyn WS 120ft S/O Sherman Way (NO EXT) F/S - 1,https://adquick-production.s3.amazonaws.com/uploads/unit_image/image/40440/marketing.jpeg,34.20010091,-118.39673728,14' x 48',static,S,,billboard
